"mean" "RB(%)" "MSE" "CR"
"50" 0.922 -7.772 0.158 0.915
"100" 0.965 -3.505 0.083 0.987
"150" 0.964 -3.643 0.054 0.998
"200" 0.983 -1.655 0.041 1
"250" 0.982 -1.827 0.034 1
"300" 0.987 -1.321 0.028 1
"350" 0.988 -1.192 0.024 1
"400" 0.989 -1.051 0.022 1
"450" 0.99 -0.966 0.019 1
"500" 0.992 -0.758 0.017 1
"550" 0.993 -0.684 0.015 1
"600" 0.993 -0.694 0.014 1
"650" 0.991 -0.947 0.013 1
"700" 0.995 -0.504 0.012 1
"750" 0.996 -0.389 0.011 1
"800" 0.995 -0.499 0.011 1
"850" 0.995 -0.499 0.01 1
"900" 0.995 -0.536 0.009 1
"950" 0.995 -0.475 0.009 1
"1000" 0.996 -0.366 0.008 1
