"mean" "RB(%)" "MSE" "CR"
"50" 0.465 -6.995 0.039 0.912
"100" 0.479 -4.103 0.021 0.985
"150" 0.486 -2.702 0.013 0.998
"200" 0.492 -1.69 0.011 0.999
"250" 0.491 -1.875 0.008 1
"300" 0.495 -0.902 0.007 1
"350" 0.494 -1.126 0.006 1
"400" 0.495 -1.002 0.005 1
"450" 0.497 -0.587 0.005 1
"500" 0.496 -0.738 0.004 1
"550" 0.497 -0.69 0.004 1
"600" 0.495 -0.962 0.003 1
"650" 0.496 -0.87 0.003 1
"700" 0.497 -0.659 0.003 1
"750" 0.498 -0.441 0.003 1
"800" 0.499 -0.252 0.003 1
"850" 0.497 -0.616 0.002 1
"900" 0.498 -0.425 0.002 1
"950" 0.498 -0.328 0.002 1
"1000" 0.498 -0.43 0.002 1
