"mean" "RB(%)" "MSE" "CR"
"50" 1.836 -8.215 0.649 0.905
"100" 1.913 -4.361 0.318 0.989
"150" 1.946 -2.678 0.218 0.999
"200" 1.96 -2.008 0.171 1
"250" 1.97 -1.495 0.125 1
"300" 1.97 -1.513 0.116 1
"350" 1.97 -1.494 0.098 1
"400" 1.979 -1.031 0.085 1
"450" 1.976 -1.21 0.074 1
"500" 1.987 -0.646 0.067 1
"550" 1.986 -0.703 0.061 1
"600" 1.988 -0.623 0.054 1
"650" 1.99 -0.52 0.05 1
"700" 1.984 -0.821 0.049 1
"750" 1.989 -0.559 0.045 1
"800" 1.989 -0.571 0.042 1
"850" 1.989 -0.551 0.039 1
"900" 1.986 -0.678 0.036 1
"950" 1.992 -0.424 0.035 1
"1000" 1.992 -0.406 0.034 1
